                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8739,                 6.0085,                 4.1096,                  4e-05,                0.00457,                  2e-05,                  1e-05,                 4.7202,                 5.3068,                 4.2963,             0.00065657,             0.00065657,             0.00065657
                      2,                 3.0448,                 3.1621,                 3.0777,                0.19159,                0.10502,                 0.0462,                0.01226,                 3.2618,                 4.0068,                 3.4259,              0.0012577,              0.0012577,              0.0012577
                      3,                  2.725,                 2.3844,                 2.6131,                0.47349,                0.51741,                0.42708,                0.10356,                 2.6952,                 3.1714,                 3.1116,              0.0017929,              0.0017929,              0.0017929
                      4,                  2.377,                 1.9312,                 2.2947,                0.74001,                0.47945,                0.57766,                0.19195,                 2.2509,                 1.7589,                 2.2609,               0.001703,               0.001703,               0.001703
                      5,                 2.2203,                 1.7287,                 2.2129,                0.64441,                0.50685,                 0.5343,                0.22541,                 2.0254,                  1.739,                 2.1619,               0.001703,               0.001703,               0.001703
                      6,                 1.9661,                 1.4559,                  1.923,                0.77324,                0.70776,                0.77793,                0.37631,                 1.7625,                  1.531,                 1.9347,               0.001604,               0.001604,               0.001604
                      7,                 1.8759,                 1.2991,                 1.8625,                0.87857,                0.59471,                0.74501,                0.38479,                 1.7427,                 1.2758,                 1.8972,               0.001505,               0.001505,               0.001505
                      8,                 1.7558,                 1.2543,                 1.7907,                0.83969,                0.74143,                0.85484,                0.49136,                 1.5222,                 1.0832,                 1.6958,               0.001406,               0.001406,               0.001406
                      9,                 1.6577,                 1.1588,                 1.6832,                0.83254,                0.75799,                0.86156,                0.48553,                  1.595,                 1.0846,                  1.721,               0.001307,               0.001307,               0.001307
                     10,                  1.574,                 1.0828,                 1.6406,                0.82496,                0.73973,                0.81173,                 0.4568,                 1.5801,                 1.0653,                 1.7367,               0.001208,               0.001208,               0.001208
                     11,                 1.5818,                 1.0975,                 1.7375,                0.83717,                0.69406,                0.80118,                0.44193,                 1.5605,                 1.1623,                 1.7117,               0.001109,               0.001109,               0.001109
                     12,                 1.4973,                 1.0061,                 1.6508,                0.93489,                0.78675,                0.91131,                0.59176,                 1.2994,                0.94082,                 1.5015,                0.00101,                0.00101,                0.00101
                     13,                 1.3674,                0.89422,                 1.5699,                0.94734,                0.82147,                0.92818,                0.62233,                 1.2031,                0.82404,                 1.4571,               0.000911,               0.000911,               0.000911
                     14,                  1.298,                0.85192,                 1.5005,                0.95005,                0.78171,                 0.9172,                0.61224,                 1.2452,                0.80186,                 1.4573,               0.000812,               0.000812,               0.000812
                     15,                 1.2715,                0.82164,                 1.4814,                0.84568,                0.84932,                0.90399,                0.60552,                 1.2495,                0.79882,                  1.415,               0.000713,               0.000713,               0.000713
                     16,                 1.2672,                  0.802,                  1.462,                0.88193,                0.85272,                0.92174,                0.61344,                 1.2145,                0.82585,                 1.4622,               0.000614,               0.000614,               0.000614
                     17,                 1.1879,                0.77532,                 1.4288,                0.89409,                 0.8866,                 0.9411,                0.65546,                 1.0977,                 0.7109,                 1.3696,               0.000515,               0.000515,               0.000515
                     18,                 1.1461,                0.71896,                 1.3843,                0.92169,                0.85388,                0.93811,                0.68114,                 1.0128,                0.68406,                 1.3385,               0.000416,               0.000416,               0.000416
                     19,                 1.1183,                0.69645,                 1.3821,                0.94886,                0.84727,                0.94826,                0.68503,                 1.0293,                0.65486,                 1.3185,               0.000317,               0.000317,               0.000317
                     20,                 1.0735,                0.67385,                 1.3573,                0.95995,                0.87558,                0.95899,                0.71904,                0.95137,                0.60805,                 1.2877,               0.000218,               0.000218,               0.000218
